codigo;filial;forecast;estoque_in_house;estoque_livre;compras;transferencias;politica;base_NS;ns;ns_ex_bo_total;ns_ex_bo_ttl_parc
86;1023;10;76;76;0;0;30;Sim;1;1;1
86;1021;0;5;5;0;0;30;Sim;1;1;1
86;1010;1;2;2;0;0;30;Sim;1;1;1
86;1009;4;13;12;0;0;30;Sim;1;1;1
86;1003;0;12;12;0;0;30;Sim;1;1;1
86;1002;1;20;20;0;0;30;Sim;1;1;1
86;1001;2;1;1;0;0;30;Sim;1;1;1
164;1009;0;1;1;0;0;30;Sim;1;1;1
164;1003;0;12;12;0;0;30;Sim;1;1;1
167;1030;0;3;3;0;0;45;Sim;1;1;1
183;1030;0;3;3;0;0;45;Sim;1;1;1
183;1021;29;576;575;0;0;45;Sim;1;1;1
183;1010;411;136;136;640;0;45;Sim;1;1;1
183;1009;2197;1011;988;3160;100;45;Sim;1;1;1
183;1003;127;461;431;0;0;45;Sim;1;1;1
183;1002;3773;4462;4332;3060;0;45;Sim;1;1;1
183;1001;1581;3074;3031;380;0;45;Sim;1;1;1
205;1021;272;170;1;190;0;45;Sim;1;1;1
205;1010;367;480;480;160;0;45;Sim;1;1;1
205;1009;2734;20;10;5020;0;45;Sim;0.301003344481605;0.301003344481605;0.301003344481605
205;1003;242;140;60;170;0;45;Sim;1;1;1
205;1002;3185;20;10;5600;0;45;Sim;0.274390243902439;0.274390243902439;0.274390243902439
205;1001;1803;2080;2050;1160;0;45;Sim;1;1;1
214;1021;12;54;54;0;0;60;Sim;1;1;1
214;1009;0;3;100;0;0;60;Sim;1;1;1
215;1021;31;201;201;0;0;60;Sim;1;1;1
215;1010;315;1069;1069;0;0;60;Sim;1;1;1
215;1009;0;0;0;0;0;60;Sim;1;1;1
215;1003;926;1063;1063;1300;0;60;Sim;1;1;1
215;1001;0;0;0;0;0;60;Sim;1;1;1
235;1024;0;140;140;0;0;50;Sim;1;1;1
235;1021;722;670;670;1080;0;50;Sim;1;1;1
235;1010;171;84;84;180;0;50;Sim;1;1;1
235;1009;2355;536;5;5380;0;50;Sim;1;1;1
235;1003;76;0;0;180;0;50;Sim;0;0;0
235;1002;905;37;0;1960;0;50;Sim;1;1;1
235;1001;1495;12;0;3960;0;50;Sim;0.251338142890389;0.251338142890389;0.251338142890389
246;1002;0;0;0;48;0;60;Sim;1;1;1
246;1001;0;0;0;36;0;60;Sim;1;1;1
248;1021;22;388;377;0;0;45;Sim;1;1;1
248;1010;89;586;586;10;0;45;Sim;1;1;1
248;1009;274;148;118;0;290;45;Sim;1;1;1
248;1003;3;799;799;0;0;45;Sim;1;1;1
248;1002;306;314;314;0;0;45;Sim;1;1;1
248;1001;344;591;561;0;0;45;Sim;1;1;1
272;1010;4;10;10;0;0;45;Sim;1;1;1
272;1009;18;10;8;30;0;45;Sim;1;1;1
272;1003;0;20;20;0;0;45;Sim;1;1;1
272;1002;161;30;30;400;0;45;Sim;1;1;1
272;1001;29;10;0;70;0;45;Sim;1;1;1
280;1021;2076;2214;1700;0;0;45;Sim;1;1;1
280;1010;964;9312;9312;10;0;45;Sim;1;1;1
280;1009;1617;1880;1566;0;0;45;Sim;1;1;1
280;1003;369;708;708;0;0;45;Sim;1;1;1
280;1002;3639;6258;6228;10;0;45;Sim;1;1;1
280;1001;5740;22766;21740;0;0;45;Sim;1;1;1
299;1021;146;120;83;140;0;45;Sim;1;1;1
299;1010;15;50;50;0;0;45;Sim;1;1;1
299;1009;82;170;154;0;0;45;Sim;1;1;1
299;1002;133;160;160;20;0;45;Sim;1;1;1
299;1001;175;200;121;120;0;45;Sim;1;1;1
307;1010;282;396;287;0;0;60;Sim;1;1;1
307;1009;0;12;12;0;0;60;Sim;1;1;1
307;1001;0;0;0;0;0;60;Sim;1;1;1
310;1021;15;4;4;14;0;45;Sim;1;1;1
310;1010;46;99;91;4;0;45;Sim;1;1;1
310;1009;13;7;4;6;0;45;Sim;1;1;1
310;1003;4;17;17;0;0;45;Sim;1;1;1
310;1002;32;46;43;29;0;45;Sim;1;1;1
310;1001;123;138;130;183;0;45;Sim;1;1;1
329;1021;42;51;49;0;0;45;Sim;1;1;1
329;1010;106;222;222;38;0;45;Sim;1;1;1
329;1009;49;55;29;25;0;45;Sim;1;1;1
329;1003;42;80;80;5;0;45;Sim;1;1;1
329;1002;148;272;272;48;0;45;Sim;1;1;1
329;1001;190;248;184;74;0;45;Sim;1;1;1
336;1021;2;2;2;0;0;60;Sim;1;1;1
336;1010;0;5;5;0;0;60;Sim;1;1;1
336;1009;7;14;14;0;0;60;Sim;1;1;1
336;1002;5;2;2;0;0;60;Sim;1;1;1
336;1001;11;0;0;0;0;60;Sim;0;0;0
339;1002;1;7;7;0;0;60;Sim;1;1;1
339;1001;0;1;1;0;0;60;Sim;1;1;1
340;1002;0;1;1;0;0;60;Sim;1;1;1
340;1001;5;5;5;0;0;60;Sim;1;1;1
341;1023;1;1;1;0;0;45;Sim;1;1;1
341;1021;0;0;0;0;0;45;Sim;0;0;0
341;1009;3;22;22;0;0;45;Sim;1;1;1
341;1003;0;20;20;0;0;45;Sim;1;1;1
341;1002;1;15;15;0;0;45;Sim;1;1;1
341;1001;2;18;18;0;0;45;Sim;1;1;1
345;1021;66;102;70;22;0;45;Sim;1;1;1
345;1010;34;26;26;31;0;45;Sim;1;1;1
345;1009;118;70;0;99;0;45;Sim;1;1;1
345;1003;8;60;60;0;0;45;Sim;1;1;1
345;1002;157;221;207;14;0;45;Sim;1;1;1
345;1001;154;279;253;71;0;45;Sim;1;1;1
353;1021;82;85;61;69;0;45;Sim;1;1;1
353;1010;82;107;36;79;0;45;Sim;1;1;1
353;1009;129;131;92;84;0;45;Sim;1;1;1
353;1003;9;23;3;1;0;45;Sim;1;1;1
353;1002;144;233;222;48;0;45;Sim;1;1;1
353;1001;338;272;239;106;0;45;Sim;1;1;1
360;1010;13;33;33;0;0;60;Sim;1;1;1
360;1009;0;2;2;0;0;60;Sim;1;1;1
360;1002;0;10;10;0;0;60;Sim;1;1;1
360;1001;5;4;4;0;0;60;Sim;1;1;1
361;1021;827;723;415;1059;0;45;Sim;1;1;1
361;1010;371;349;149;475;0;45;Sim;1;1;1
361;1009;1064;1170;734;2151;0;45;Sim;1;1;1
361;1003;48;176;176;76;0;45;Sim;1;1;1
361;1002;986;282;232;341;0;45;Sim;1;1;1
361;1001;2486;2592;2055;1530;0;45;Sim;1;1;1
367;1023;243;500;0;0;0;30;Sim;1;1;1
367;1021;54;800;800;0;0;30;Sim;1;1;1
367;1010;5592;5450;4334;6000;0;30;Sim;1;1;1
367;1009;837;73;15;7000;0;30;Sim;1;1;1
367;1003;297;150;150;1000;0;30;Sim;1;1;1
367;1002;864;1700;1500;0;0;30;Sim;1;1;1
367;1001;3512;3700;3600;0;0;30;Sim;1;1;1
370;1021;356;608;543;57;0;45;Sim;1;1;1
370;1010;493;1750;1750;208;0;45;Sim;1;1;1
370;1009;841;1245;1116;0;0;45;Sim;1;1;1
370;1003;61;216;116;0;0;45;Sim;1;1;1
370;1002;624;788;778;5;2;45;Sim;1;1;1
370;1001;1221;1740;1527;372;0;45;Sim;1;1;1
378;1021;4;17;13;0;0;45;Sim;1;1;1
378;1010;12;26;24;12;0;45;Sim;1;1;1
378;1009;32;84;35;76;0;45;Sim;1;1;1
378;1003;2;2;2;4;0;45;Sim;1;1;1
378;1002;15;16;9;4;0;45;Sim;1;1;1
378;1001;129;11;0;172;0;45;Sim;1;1;1
419;1021;142;12;0;300;0;45;Sim;1;1;1
419;1010;146;240;240;200;0;45;Sim;1;1;1
419;1009;36;30;20;50;0;45;Sim;1;1;1
419;1003;0;20;20;0;0;45;Sim;1;1;1
419;1002;61;90;90;100;0;45;Sim;1;1;1
419;1001;130;130;118;200;0;45;Sim;1;1;1
420;1021;0;3;3;0;0;45;Sim;1;1;1
420;1010;308;810;810;0;0;45;Sim;1;1;1
420;1009;24;40;30;0;0;45;Sim;1;1;1
420;1003;205;90;90;300;0;45;Sim;1;1;1
420;1002;88;83;83;100;0;45;Sim;1;1;1
420;1001;205;200;200;250;0;45;Sim;1;1;1
456;1021;7;5;5;0;0;60;Sim;1;1;1
456;1010;1;2;2;0;0;60;Sim;1;1;1
456;1003;36;39;39;0;0;60;Sim;1;1;1
457;1021;156;138;78;0;0;60;Sim;1;1;1
457;1010;21;39;39;0;0;60;Sim;1;1;1
457;1009;1;2;2;0;0;60;Sim;1;1;1
457;1003;4;10;10;0;0;60;Sim;1;1;1
457;1002;5;458;458;0;0;60;Sim;1;1;1
489;1023;1;8;8;0;0;60;Sim;1;1;1
489;1021;0;1;1;0;0;60;Sim;1;1;1
489;1010;11;14;14;0;0;60;Sim;1;1;1
489;1009;1;2;1;0;0;60;Sim;1;1;1
489;1003;6;10;10;0;0;60;Sim;1;1;1
489;1002;3;11;11;0;0;60;Sim;1;1;1
489;1001;4;1;0;0;4;60;Sim;1;1;1
493;1021;0;15;15;0;0;150;Sim;1;1;1
493;1010;0;4;4;0;0;150;Sim;1;1;1
493;1009;12;33;33;0;0;150;Sim;1;1;1
493;1003;16;157;157;300;0;150;Sim;1;1;1
493;1002;11;42;42;0;0;150;Sim;1;1;1
493;1001;0;25;25;0;0;150;Sim;1;1;1
497;1023;1;0;0;0;0;60;Sim;0;0;0
497;1021;1;0;0;0;2;60;Sim;0;0;0
497;1010;3;8;7;0;0;60;Sim;1;1;1
497;1009;6;9;5;0;0;60;Sim;1;1;1
497;1003;11;0;0;0;13;60;Sim;0;0;0
